Ticker,Name,Country,Fundamental Score,ROE %,Sales Growth %,Profit Growth %,Profit Margin %,Debt/Equity,Trailing PE,Forward PE,Trailing EPS,Forward EPS,Improving Score,Revenue Trend,Earnings Trend,Margin Trend,ROE Trend,EPS Trend,Analyst Trend,Was Loss Now Profit,Latest Net Income,Latest Revenue,Latest EPS (Quarterly),Previous EPS (Quarterly)
MA,Mastercard,USA,76,241.202,14.099999999999998,22.1,46.339000000000006,439.583,31.05714,24.54917,18.2,23.02481,2,up,up,up,flat,up,down,False,4388000000.0,9277000000.0,4.97,4.35
PYPL,PayPal,USA,68,24.497,4.8,-3.1,14.363999999999999,71.751,9.907372,9.059308,5.29,5.78521,-1,up,down,down,flat,up,flat,False,1104000000.0,8682000000.0,1.25,1.21
WMT,Walmart,USA,60,22.313999000000003,5.8999999999999995,-9.1,3.0,71.653,38.67029,33.043858,2.76,3.22995,1,up,flat,flat,flat,flat,flat,False,6366000000.0,187937000000.0,0.8,0.67
COST,Costco,USA,76,29.152,11.600000000000001,15.2,3.01,24.567,45.035717,39.576874,19.88,22.62205,3,up,up,flat,flat,up,up,False,2192000000.0,70527000000.0,4.93,4.58
KO,Coca-Cola,USA,80,42.054,6.7,16.900000000000002,28.558,115.519,26.501503,25.025663,3.33,3.52638,0,flat,flat,flat,flat,flat,flat,False,4425000000.0,13380000000.0,1.03,0.91
PEP,PepsiCo,USA,74,51.507999999999996,6.4,137.0,10.785,238.949,17.005241,14.456196,7.63,8.97539,1,up,flat,up,flat,flat,down,False,2981000000.0,24181000000.0,2.18,1.7
MCD,McDonald's,USA,69,,3.6999999999999997,5.7,31.72,,20.165718,17.759768,12.31,13.97766,-1,flat,flat,down,flat,flat,flat,False,2362000000.0,7100000000.0,3.32,2.78
DIS,Walt Disney,USA,55,8.01,6.800000000000001,-48.3,8.6990006,39.404,21.169073,13.729625,4.85,7.47799,1,flat,flat,flat,flat,flat,up,False,2638000000.0,25248000000.0,1.51,1.27
EA,Electronic Arts,USA,87,16.458000000000002,18.9,97.5,13.803001,26.43,59.743587,21.720531,3.51,9.62882,-1,up,down,down,flat,down,flat,False,,,1.56,1.81
TMUS,T-Mobile US,USA,62,17.994,7.9,5.3,11.455,214.035,17.61047,11.647991,9.55,14.43854,-1,flat,flat,flat,flat,flat,down,False,3239000000.0,22791000000.0,2.99,2.27
XOM,Exxon Mobil,USA,85,12.584000000000001,44.1,112.79999999999998,9.072,15.921,21.047619,15.155684,7.77,10.79067,1,up,flat,flat,flat,flat,flat,False,14525000000.0,114529000000.0,3.48,1.0
CVX,Chevron,USA,85,12.231,53.5,321.9,9.834,18.959,20.16458,15.447548,10.39,13.56267,2,up,flat,flat,flat,flat,up,False,12072000000.0,67199000000.0,6.11,1.11
LNG,Cheniere Energy,USA,82,39.116,22.7,100.69999999999999,13.944,243.42,20.328789,12.921567,13.2,20.76683,-1,flat,flat,flat,flat,flat,down,True,3068000000.0,5732000000.0,14.65,-16.65
CCJ,Cameco,USA,46,5.1149998000000005,-7.199999999999999,-92.10000000000001,10.2139995,17.131,157.96553,49.306816,0.58,1.858161,0,flat,flat,flat,flat,flat,flat,True,130751000.0,845365000.0,0.3,
NXE,NexGen Energy,USA,49,-17.666999999999998,,,0.0,33.569,,-58.44165,-0.3,-0.15998864,-1,flat,flat,flat,flat,down,down,True,74545000.0,0.0,-0.02,-0.24
FCX,Freeport-McMoRan,USA,68,14.754999999999999,-7.3,28.1,11.3850005,32.149,35.06863,17.270016,2.04,4.14244,-2,flat,flat,down,flat,flat,down,False,984000000.0,7029000000.0,0.68,0.61
NEM,Newmont,USA,88,25.905,15.1,11.4,33.363998,15.807,15.542822,12.1026745,7.94,10.19692,-1,up,down,down,down,down,up,False,2202000000.0,6118000000.0,2.06,3.01
GOLD,Barrick Gold,USA,61,10.8,99.2,1.3,0.32300001,96.09,15.052979,12.187667,3.02,3.73,1,up,flat,flat,flat,up,flat,True,12157000.0,5005014000.0,,2.09
